Time,Computer,Rack,PCB_id,Chip_id,Chip_v,Efuse_high,Efuse_low,Matrix id,Polarization,Mode,FE,FE active,RF Freq,IF Freq,LO Freq,atten IF,atten RF,Path IF,Path FE,PA Bias,P_in,P_out,Gain,CPin,CPout,CPin3,CPout3,Psat_in,Psat,Curr_1V2,Curr_1V5,Curr_1V8,Curr_2V7_FE,Curr_2V7_LO,Curr_2V7,Temp_FE00,Temp_FE01,Temp_FE02,Temp_FE03,Temp_FE04,Temp_FE05,Temp_FE06,Temp_FE07,Temp_FE08,Temp_FE09,Temp_FE10,Temp_FE11,Temp_FE12,Temp_FE13,Temp_FE14,Temp_FE15,TempADC_FE00,TempADC_FE01,TempADC_FE02,TempADC_FE03,TempADC_FE04,TempADC_FE05,TempADC_FE06,TempADC_FE07,TempADC_FE08,TempADC_FE09,TempADC_FE10,TempADC_FE11,TempADC_FE12,TempADC_FE13,TempADC_FE14,TempADC_FE15,Temp target,Temp ambient
2018-11-07 15:19,ESELDMWH7182,3,T581806177,1a3,3,0,2830,M15; M17,V,RX,0,16,37,3.072,6.678666667,2.73,19.87,RX_IF_V,FE00_V,"[9,9,5,1,1,1]",0,-1.45,-1.45,NaN,NaN,NaN,NaN,NaN,NaN,1.11E-01,5.00E-01,1.43E-03,7.61E-01,1.93E-01,5.09E-01,28,28,29,29,29,28,28,28,29,29,28,29,28,28,28,28,551,573,525,565,546,561,551,538,550,538,553,527,551,550,510,529,25,25
2018-11-07 15:19,ESELDMWH7182,3,T581806177,1a3,3,0,2830,M15; M17,V,RX,0,16,38.5,3.072,6.928666667,2.73,20.24,RX_IF_V,FE00_V,"[9,9,5,1,1,1]",-40,-27.35,12.65,NaN,NaN,NaN,NaN,NaN,NaN,1.11E-01,4.94E-01,1.43E-03,7.47E-01,1.93E-01,5.09E-01,28,29,29,29,29,28,28,28,29,28,28,29,28,28,28,28,552,572,525,565,546,561,551,538,551,538,553,528,551,551,510,530,25,25
2018-11-07 15:19,ESELDMWH7182,3,T581806177,1a3,3,0,2830,M15; M17,V,RX,0,16,38.5,3.072,6.928666667,2.73,20.24,RX_IF_V,FE00_V,"[9,9,5,1,1,1]",-38,-25.35,12.65,NaN,NaN,NaN,NaN,NaN,NaN,1.11E-01,4.94E-01,1.43E-03,7.47E-01,1.93E-01,5.09E-01,28,29,29,29,29,28,28,29,29,29,29,29,28,28,28,28,552,572,524,565,545,561,551,539,550,538,553,528,551,550,509,529,25,25
2018-11-07 15:19,ESELDMWH7182,3,T581806177,1a3,3,0,2830,M15; M17,V,RX,0,16,38.5,3.072,6.928666667,2.73,20.24,RX_IF_V,FE00_V,"[9,9,5,1,1,1]",-36,-23.34,12.66,NaN,NaN,NaN,NaN,NaN,NaN,1.11E-01,4.94E-01,1.43E-03,7.47E-01,1.93E-01,5.09E-01,28,28,29,29,29,28,29,28,29,29,29,29,28,28,28,28,552,573,525,564,545,561,550,538,550,538,552,527,550,550,509,529,25,25
2018-11-07 15:19,ESELDMWH7182,3,T581806177,1a3,3,0,2830,M15; M17,V,RX,0,16,38.5,3.072,6.928666667,2.73,20.24,RX_IF_V,FE00_V,"[9,9,5,1,1,1]",-34,-21.44,12.56,NaN,NaN,NaN,NaN,NaN,NaN,1.11E-01,4.94E-01,1.43E-03,7.47E-01,1.93E-01,5.09E-01,28,28,29,29,29,28,29,29,29,29,29,29,28,28,28,28,552,573,525,564,544,560,550,539,550,537,553,529,551,550,509,529,25,25
2018-11-07 15:19,ESELDMWH7182,3,T581806177,1a3,3,0,2830,M15; M17,V,RX,0,16,38.5,3.072,6.928666667,2.73,20.24,RX_IF_V,FE00_V,"[9,9,5,1,1,1]",-32,-19.44,12.56,NaN,NaN,NaN,NaN,NaN,NaN,1.11E-01,4.94E-01,1.43E-03,7.47E-01,1.93E-01,5.09E-01,29,28,29,29,29,28,28,29,29,29,28,28,28,28,28,28,551,573,524,564,545,560,550,538,551,537,552,528,550,550,509,529,25,25
2018-11-07 15:20,ESELDMWH7182,3,T581806177,1a3,3,0,2830,M15; M17,V,RX,0,16,38.5,3.072,6.928666667,2.73,20.24,RX_IF_V,FE00_V,"[9,9,5,1,1,1]",-30,-17.47,12.53,NaN,NaN,NaN,NaN,NaN,NaN,1.11E-01,4.94E-01,1.43E-03,7.47E-01,1.93E-01,5.09E-01,29,28,29,29,29,28,28,29,29,29,28,29,28,28,28,28,551,573,523,564,545,561,551,538,550,539,552,527,550,550,509,529,25,25
2018-11-07 15:20,ESELDMWH7182,3,T581806177,1a3,3,0,2830,M15; M17,V,RX,0,16,38.5,3.072,6.928666667,2.73,20.24,RX_IF_V,FE00_V,"[9,9,5,1,1,1]",-28,-15.51,12.49,NaN,NaN,NaN,NaN,NaN,NaN,1.11E-01,4.94E-01,1.43E-03,7.47E-01,1.93E-01,5.09E-01,28,28,29,29,29,28,29,29,29,29,29,29,28,29,28,28,552,573,525,563,544,561,550,538,550,538,552,527,550,550,509,529,25,25
2018-11-07 15:20,ESELDMWH7182,3,T581806177,1a3,3,0,2830,M15; M17,V,RX,0,16,38.5,3.072,6.928666667,2.73,20.24,RX_IF_V,FE00_V,"[9,9,5,1,1,1]",-26,-13.56,12.44,NaN,NaN,NaN,NaN,NaN,NaN,1.11E-01,4.94E-01,1.43E-03,7.47E-01,1.93E-01,5.09E-01,29,28,29,29,29,28,29,29,29,29,29,29,28,29,28,28,552,572,523,563,545,559,550,537,550,538,552,527,550,550,509,529,25,25
2018-11-07 15:20,ESELDMWH7182,3,T581806177,1a3,3,0,2830,M15; M17,V,RX,0,16,38.5,3.072,6.928666667,2.73,20.24,RX_IF_V,FE00_V,"[9,9,5,1,1,1]",-24,-11.7,12.3,NaN,NaN,NaN,NaN,NaN,NaN,1.11E-01,4.94E-01,1.43E-03,7.47E-01,1.93E-01,5.09E-01,29,29,29,29,29,28,29,29,29,29,29,29,28,29,28,29,551,572,525,563,545,559,550,538,550,538,552,527,550,549,508,529,25,25
